candidate_id,rank,score,reasoning
CAND_0002025,1,0.38197044,"Strong overall score driven by high title similarity (Senior AI Engineer), ideal 5.9 years of experience, and a product background. Placement is constrained by a relocation requirement from Trivandrum, Kerala and behavioral signals (active open-to-work status, prompt 30-day notice, high 80% response rate)."
CAND_0005538,2,0.24536607,"Strong overall score driven by high title similarity (Senior AI Engineer), ideal 5.9 years of experience, and a product background. Placement is constrained by a relocation requirement from Kolkata, West Bengal and behavioral signals (active open-to-work status, 90-day notice period, high 81% response rate)."
CAND_0006567,3,0.18951835,"Strong overall score driven by high title similarity (Senior AI Engineer), ideal 7.9 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, moderate 79% response rate)."
CAND_0088025,4,0.18541399,"Strong overall score driven by high title similarity (Staff Machine Learning Engineer), ideal 8.6 years of experience, and a product background. Placement is constrained by a relocation requirement from Jaipur, Rajasthan and behavioral signals (active open-to-work status, 90-day notice period, high 83% response rate)."
CAND_0077337,5,0.16604517,"Strong overall score driven by high title similarity (Staff Machine Learning Engineer), ideal 7.0 years of experience, and a product background. Placement is adjusted by a relocation requirement from Kochi, Kerala, balanced by favorable behavioral signals (active open-to-work status, 60-day notice period, high 95% response rate)."
CAND_0018499,6,0.15816796,"Strong overall score driven by high title similarity (Senior Machine Learning Engineer), ideal 7.2 years of experience, and a product background. Placement is supported by a local Noida, Uttar Pradesh location boost and favorable behavioral signals (active open-to-work status, prompt 15-day notice, moderate 61% response rate)."
CAND_0046525,7,0.1503737,"Strong overall score driven by high title similarity (Senior Machine Learning Engineer), ideal 6.1 years of experience, and a product background. Placement is supported by a local Pune, Maharashtra location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, high 88% response rate)."
CAND_0068351,8,0.14251524,"Strong overall score driven by high title similarity (Lead AI Engineer), ideal 6.4 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (passive search status, prompt 0-day notice, high 86% response rate)."
CAND_0060257,9,0.13600734,"Strong overall score driven by high title similarity (AI Specialist), ideal 5.8 years of experience, and a product background. Placement is supported by a local Gurgaon, Haryana location boost and favorable behavioral signals (active open-to-work status, 60-day notice period, moderate 56% response rate)."
CAND_0030468,10,0.13510178,"Strong overall score driven by high title similarity (Senior Applied Scientist), ideal 5.4 years of experience, and a product background. Placement is adjusted by a relocation requirement from Indore, Madhya Pradesh, balanced by favorable behavioral signals (active open-to-work status, 45-day notice period, moderate 78% response rate)."
CAND_0005649,11,0.13384408,"Strong overall score driven by high title similarity (Senior Data Scientist), ideal 7.4 years of experience, and a product background. Placement is supported by a local Delhi, Delhi location boost and favorable behavioral signals (active open-to-work status, 90-day notice period, moderate 56% response rate)."
